J2	3.82278736834937	C1	2	70	1
J2	3.82278736834937	G1	3	70	1
J2	3.82278736834937	T1	2	70	1
J2	3.82278736834937	U1	4	70	1
J2	3.82278736834937	G2	2	80	1
J2	3.82278736834937	J2	4	100	1
J2	3.82278736834937	U2	3	70	1
J2	3.82278736834937	X2	1	70	1
S1	3.45261148107438	F1	1	70	1
S1	3.45261148107438	M1	3	70	1
S1	3.45261148107438	P1	2	70	1
S1	3.45261148107438	S1	5	100	1
S1	3.45261148107438	F2	1	70	1
S1	3.45261148107438	I2	5	70	1
S1	3.45261148107438	M2	3	70	1
S1	3.45261148107438	R2	4	70	1
C2	3.34244507087723	D1	5	70	1
C2	3.34244507087723	M1	3	90	1
C2	3.34244507087723	P1	2	70	1
C2	3.34244507087723	W1	4	70	1
C2	3.34244507087723	Y1	3	70	1
C2	3.34244507087723	C2	4	100	1
C2	3.34244507087723	Q2	2	70	1
C2	3.34244507087723	R2	4	70	1
D2	3.28629340250199	G1	3	70	1
D2	3.28629340250199	L1	4	70	1
D2	3.28629340250199	O1	3	80	1
Q1	3.26996972362432	C1	2	70	1
Q1	3.26996972362432	G1	3	70	1
Q1	3.26996972362432	T1	2	70	1
Q1	3.26996972362432	U1	4	70	1
Q1	3.26996972362432	I2	5	80	1
Q1	3.26996972362432	J2	4	80	1
Q1	3.26996972362432	X2	1	90	1
I2	3.25209682947631	G1	3	70	1
I2	3.25209682947631	L1	4	70	1
I2	3.25209682947631	S1	5	70	1
I2	3.25209682947631	I2	5	100	1
I2	3.25209682947631	X2	1	70	1
K1	3.23705456293769	T1	2	70	1
K1	3.23705456293769	X2	1	70	1
D1	3.23119860126145	D1	5	100	1
D1	3.23119860126145	L1	4	70	1
D1	3.23119860126145	U1	4	70	1
D1	3.23119860126145	Y1	3	80	1
D1	3.23119860126145	C2	4	70	1
D1	3.23119860126145	Q2	2	80	1
W2	3.17044065906062	A2	1	80	1
W2	3.17044065906062	G2	2	80	1
W2	3.17044065906062	O2	1	80	1
W2	3.17044065906062	W2	4	100	1
H2	3.16965766043545	A1	2	70	1
H2	3.16965766043545	B1	3	70	1
H2	3.16965766043545	P1	2	70	1
H2	3.16965766043545	A2	1	70	1
H2	3.16965766043545	H2	5	100	1
H2	3.16965766043545	K2	4	70	1
H2	3.16965766043545	M2	3	70	1
H2	3.16965766043545	O2	1	70	1
X1	3.6583391045784	A1	2	70	2
X1	3.6583391045784	O1	5	70	2
X1	3.6583391045784	P1	3	70	2
X1	3.6583391045784	X1	4	100	2
X1	3.6583391045784	A2	3	70	2
X1	3.6583391045784	F2	5	70	2
X1	3.6583391045784	I2	5	70	2
X1	3.6583391045784	T2	5	70	2
J2	3.45138969305019	G1	4	70	2
J2	3.45138969305019	Q1	1	80	2
J2	3.45138969305019	U1	4	70	2
J2	3.45138969305019	G2	2	80	2
J2	3.45138969305019	J2	4	100	2
J2	3.45138969305019	X2	3	70	2
H2	3.41615849517113	A1	2	70	2
H2	3.41615849517113	P1	3	70	2
H2	3.41615849517113	A2	3	70	2
H2	3.41615849517113	H2	5	100	2
H2	3.41615849517113	O2	4	70	2
N2	3.36833182830963	A1	2	80	2
N2	3.36833182830963	G1	4	90	2
N2	3.36833182830963	O1	5	80	2
N2	3.36833182830963	U1	4	70	2
N2	3.36833182830963	X1	4	70	2
Z1	3.32249658191211	R1	3	70	2
Z1	3.32249658191211	A2	3	80	2
Z1	3.32249658191211	H2	5	70	2
Z1	3.32249658191211	O2	4	80	2
Z1	3.32249658191211	X2	3	70	2
R1	3.30112521807325	N1	4	70	2
R1	3.30112521807325	R1	3	100	2
R1	3.30112521807325	B2	2	70	2
R1	3.30112521807325	O2	4	70	2
R1	3.30112521807325	S2	2	80	2
F2	3.27740640644477	X1	4	70	2
F2	3.27740640644477	F2	5	100	2
S1	3.22586035565185	P1	3	70	2
S1	3.22586035565185	F2	5	70	2
S1	3.22586035565185	I2	5	70	2
S1	3.22586035565185	T2	5	70	2
U1	3.22197380200202	A1	2	70	2
U1	3.22197380200202	D1	1	70	2
U1	3.22197380200202	G1	4	80	2
U1	3.22197380200202	N1	4	90	2
U1	3.22197380200202	Q1	1	70	2
U1	3.22197380200202	U1	4	100	2
U1	3.22197380200202	E2	2	70	2
U1	3.22197380200202	J2	4	70	2
W2	3.21750095604918	A2	3	80	2
W2	3.21750095604918	G2	2	80	2
