D1	3.7	L1	5	70	3
D1	3.7	L2	1	70	3
D1	3.7	Q2	3	80	3
J2	3.6	C1	3	70	3
J2	3.6	G1	3	70	3
J2	3.6	G2	5	80	3
J2	3.6	X2	4	70	3
S1	4.3	F1	2	70	4
S1	4.3	M1	5	70	4
S1	4.3	P1	3	70	4
S1	4.3	S1	5	100	4
S1	4.3	F2	1	70	4
S1	4.3	I2	5	70	4
S1	4.3	M2	5	70	4
S1	4.3	R2	1	70	4
Q1	4.1	C1	5	70	4
Q1	4.1	G1	3	70	4
Q1	4.1	Q1	4	100	4
Q1	4.1	U1	5	70	4
Q1	4.1	E2	2	80	4
Q1	4.1	I2	5	80	4
Q1	4.1	J2	4	80	4
Q1	4.1	X2	4	90	4
D1	4.1	D1	5	100	4
D1	4.1	E1	4	70	4
D1	4.1	I1	5	70	4
D1	4.1	L1	5	70	4
D1	4.1	U1	5	70	4
D1	4.1	C2	4	70	4
I2	4.0	G1	3	70	4
I2	4.0	L1	5	70	4
I2	4.0	Q1	4	80	4
I2	4.0	S1	5	70	4
I2	4.0	V1	2	70	4
I2	4.0	X1	4	70	4
I2	4.0	I2	5	100	4
I2	4.0	X2	4	70	4
J2	4.0	C1	5	70	4
J2	4.0	G1	3	70	4
J2	4.0	Q1	4	80	4
J2	4.0	U1	5	70	4
J2	4.0	G2	4	80	4
J2	4.0	J2	4	100	4
J2	4.0	X2	4	70	4
C2	4.0	D1	5	70	4
C2	4.0	E1	4	80	4
C2	4.0	I1	5	80	4
C2	4.0	M1	5	90	4
C2	4.0	P1	3	70	4
C2	4.0	W1	2	70	4
C2	4.0	C2	4	100	4
C2	4.0	R2	1	70	4
K1	4.0	K1	5	100	4
K1	4.0	X1	4	70	4
K1	4.0	V2	4	80	4
K1	4.0	X2	4	70	4
T2	3.9	A1	4	80	4
T2	3.9	C1	5	70	4
T2	3.9	L1	5	70	4
T2	3.9	S1	5	70	4
T2	3.9	X1	4	70	4
Z1	3.9	R1	4	70	4
Z1	3.9	Z1	5	100	4
Z1	3.9	A2	4	80	4
Z1	3.9	O2	4	80	4
Z1	3.9	X2	4	70	4
L1	3.8	D1	5	70	4
L1	3.8	I1	5	80	4
L1	3.8	L1	5	100	4
L1	3.8	P1	3	70	4
L1	3.8	W1	2	70	4
