K1	3.97046601581537	T1	2	70	1
K1	3.97046601581537	X2	4	70	1
J2	3.97020132795045	C1	2	70	1
J2	3.97020132795045	G1	3	70	1
J2	3.97020132795045	T1	2	70	1
J2	3.97020132795045	U1	4	70	1
J2	3.97020132795045	G2	2	80	1
J2	3.97020132795045	J2	4	100	1
J2	3.97020132795045	U2	3	70	1
J2	3.97020132795045	X2	4	70	1
T2	3.91671653570172	A1	4	80	1
T2	3.91671653570172	B1	3	80	1
T2	3.91671653570172	C1	2	70	1
T2	3.91671653570172	L1	5	70	1
T2	3.91671653570172	S1	5	70	1
T2	3.91671653570172	U2	3	70	1
S1	3.83852627802077	F1	2	70	1
S1	3.83852627802077	M1	3	70	1
S1	3.83852627802077	P1	3	70	1
S1	3.83852627802077	S1	5	100	1
S1	3.83852627802077	F2	1	70	1
S1	3.83852627802077	I2	5	70	1
S1	3.83852627802077	M2	3	70	1
S1	3.83852627802077	R2	4	70	1
Z1	3.82399031664321	R1	4	70	1
Z1	3.82399031664321	Z1	5	100	1
Z1	3.82399031664321	A2	1	80	1
Z1	3.82399031664321	H2	5	70	1
Z1	3.82399031664321	O2	1	80	1
Z1	3.82399031664321	X2	4	70	1
Q1	3.76452249565297	C1	2	70	1
Q1	3.76452249565297	G1	3	70	1
Q1	3.76452249565297	T1	2	70	1
Q1	3.76452249565297	U1	4	70	1
Q1	3.76452249565297	I2	5	80	1
Q1	3.76452249565297	J2	4	80	1
Q1	3.76452249565297	X2	4	90	1
N1	3.72734184599084	C1	2	70	1
N1	3.72734184599084	D1	5	80	1
N1	3.72734184599084	G1	3	70	1
N1	3.72734184599084	I1	5	70	1
N1	3.72734184599084	L1	5	70	1
N1	3.72734184599084	R1	4	70	1
N1	3.72734184599084	U1	4	90	1
N1	3.72734184599084	W1	4	80	1
N1	3.72734184599084	Y1	3	80	1
N1	3.72734184599084	C2	4	70	1
C2	3.70128809062909	D1	5	70	1
C2	3.70128809062909	I1	5	80	1
C2	3.70128809062909	M1	3	90	1
C2	3.70128809062909	P1	3	70	1
C2	3.70128809062909	W1	4	70	1
C2	3.70128809062909	Y1	3	70	1
C2	3.70128809062909	C2	4	100	1
C2	3.70128809062909	Q2	2	70	1
C2	3.70128809062909	R2	4	70	1
D1	3.59501979213273	D1	5	100	1
D1	3.59501979213273	I1	5	70	1
D1	3.59501979213273	L1	5	70	1
D1	3.59501979213273	U1	4	70	1
D1	3.59501979213273	Y1	3	80	1
D1	3.59501979213273	C2	4	70	1
D1	3.59501979213273	Q2	2	80	1
I1	3.55082934290398	D1	5	70	1
I1	3.55082934290398	I1	5	100	1
I1	3.55082934290398	L1	5	80	1
I1	3.55082934290398	M1	3	70	1
I1	3.55082934290398	P1	3	70	1
I1	3.55082934290398	W1	4	90	1
I1	3.55082934290398	Y1	3	70	1
I1	3.55082934290398	C2	4	80	1
I1	3.55082934290398	F2	1	70	1
I1	3.55082934290398	Q2	2	70	1
I1	3.55082934290398	R2	4	90	1
Z1	3.96529039572565	R1	4	70	2
Z1	3.96529039572565	Z1	5	100	2
Z1	3.96529039572565	A2	3	80	2
Z1	3.96529039572565	H2	5	70	2
Z1	3.96529039572565	O2	4	80	2
Z1	3.96529039572565	X2	4	70	2
S1	3.90204263383769	F1	2	70	2
S1	3.90204263383769	P1	3	70	2
S1	3.90204263383769	F2	5	70	2
S1	3.90204263383769	I2	5	70	2
S1	3.90204263383769	T2	5	70	2
D1	3.8792866931832	D1	5	100	2
D1	3.8792866931832	I1	5	70	2
D1	3.8792866931832	L1	5	70	2
D1	3.8792866931832	N1	4	80	2
D1	3.8792866931832	U1	4	70	2
D1	3.8792866931832	C2	4	70	2
D1	3.8792866931832	Q2	3	80	2
T2	3.78989719768311	A1	4	80	2
T2	3.78989719768311	L1	5	70	2
T2	3.78989719768311	X1	4	70	2
T2	3.78989719768311	T2	5	100	2
H2	3.76411673161793	A1	4	70	2
H2	3.76411673161793	P1	3	70	2
H2	3.76411673161793	Z1	5	70	2
H2	3.76411673161793	A2	3	70	2
H2	3.76411673161793	H2	5	100	2
H2	3.76411673161793	O2	4	70	2
K2	3.75687573887641	A1	4	80	2
K2	3.75687573887641	G1	3	70	2
K2	3.75687573887641	U1	4	70	2
K2	3.75687573887641	H2	5	70	2
F2	3.75488835057694	I1	5	70	2
F2	3.75488835057694	X1	4	70	2
F2	3.75488835057694	F2	5	100	2
I2	3.74556059593295	G1	3	70	2
I2	3.74556059593295	L1	5	70	2
I2	3.74556059593295	Q1	1	80	2
I2	3.74556059593295	X1	4	70	2
